active,passive,verb
The teacher arranged the chairs.,The chairs were arranged by the teacher.,arrange
The office arranged the documents.,The documents were arranged by the office.,arrange
The gardener arranged the flowers.,The flowers were arranged by the gardener.,arrange
The artist arranged the colors.,The colors were arranged by the artist.,arrange
The manager arranged the meetings.,The meetings were arranged by the manager.,arrange
The committee arranged the events.,The events were arranged by the committee.,arrange
The programmer arranged the code.,The code was arranged by the programmer.,arrange
The chef arranged the ingredients.,The ingredients were arranged by the chef.,arrange
The librarian arranged the books.,The books were arranged by the librarian.,arrange
The technician installed the software.,The software was installed by the technician.,install
The team installed a new system.,The new system was installed by the team.,install
The workers installed the equipment.,The equipment was installed by the workers.,install
The contractor installed the roof.,The roof was installed by the contractor.,install
The expert installed the update.,The update was installed by the expert.,install
The company installed the new feature.,The new feature was installed by the company.,install
The technician installed new wiring.,The new wiring was installed by the technician.,install
The crew installed the flooring.,The flooring was installed by the crew.,install
The team installed the app.,The app was installed by the team.,install
The artist positioned the sculpture carefully.,The sculpture was positioned carefully by the artist.,position
The teacher positioned the desks in rows.,The desks were positioned in rows by the teacher.,position
The technician positioned the satellite accurately.,The satellite was accurately positioned by the technician.,position
The photographer positioned the subject for the shot.,The subject was positioned by the photographer for the shot.,position
The director positioned the cameras for the scene.,The cameras were positioned by the director for the scene.,position
The coach positioned the players strategically.,The players were positioned strategically by the coach.,position
The engineer positioned the equipment for testing.,The equipment was positioned by the engineer for testing.,position
The manager positioned the team for success.,The team was positioned for success by the manager.,position
The magician positioned the props on the stage.,The props were positioned by the magician on the stage.,position
The cat dangled its tail.,The tail was dangled by the cat.,dangle
The child dangled a toy.,The toy was dangled by the child.,dangle
The bird dangled its feet.,The feet were dangled by the bird.,dangle
The artist dangled a brush.,Output: A brush was dangled by the artist.,dangle
The hammock dangled in the breeze.,The breeze held the hammock.,dangle
The fisherman dangled a lure.,The lure was dangled by the fisherman.,dangle
The shirt dangled from the line.,The shirt was dangled from the line.,dangle
The keys dangled from a hook.,The keys were dangled from a hook.,dangle
The dog dangled its tongue.,The tongue was dangled by the dog.,dangle
The truck dumped the gravel.,The gravel was dumped by the truck.,dump
The worker dumped the trash.,The trash was dumped by the worker.,dump
The company dumped the chemicals.,The chemicals were dumped by the company.,dump
The children dumped the toys.,The toys were dumped by the children.,dump
The team dumped the old equipment.,The old equipment was dumped by the team.,dump
