frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-21.908296585083008,-28.128849029541016,6.220552444458008
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-23.774980545043945,-29.784683227539062,6.009702682495117
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-23.312244415283203,-26.37980842590332,3.067564010620117
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-23.599647521972656,-27.398771286010742,3.799123764038086
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-23.348236083984375,-27.383256912231445,4.03502082824707
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-23.720369338989258,-29.039091110229492,5.318721771240234
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-24.12208366394043,-22.060903549194336,-2.0611801147460938
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-24.958566665649414,-23.72789192199707,-1.2306747436523438
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-22.745901107788086,-26.097375869750977,3.3514747619628906
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-24.300262451171875,-25.561037063598633,1.2607746124267578
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-27.816518783569336,-31.2240047454834,3.4074859619140625
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-29.05719757080078,-33.17374038696289,4.116542816162109
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-22.218114852905273,-25.684616088867188,3.466501235961914
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-23.64246940612793,-30.572669982910156,6.930200576782227
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-24.981801986694336,-32.522403717041016,7.54060173034668
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-24.686912536621094,-27.43012237548828,2.7432098388671875
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-22.63246726989746,-26.85920524597168,4.226737976074219
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-25.38309669494629,-28.80893898010254,3.42584228515625
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-23.756174087524414,-25.565189361572266,1.8090152740478516
