frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-22.017030715942383,-27.233505249023438,5.216474533081055
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-23.707883834838867,-28.915218353271484,5.207334518432617
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-23.054729461669922,-24.83143424987793,1.7767047882080078
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-23.34844398498535,-27.049375534057617,3.7009315490722656
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-23.441984176635742,-27.01912498474121,3.5771408081054688
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-23.892141342163086,-28.700836181640625,4.808694839477539
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-23.67896270751953,-20.552934646606445,-3.126028060913086
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-24.530641555786133,-23.35463523864746,-1.1760063171386719
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-22.681015014648438,-26.724870681762695,4.043855667114258
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-24.154399871826172,-25.911352157592773,1.7569522857666016
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-27.67243194580078,-31.01605796813965,3.343626022338867
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-29.077383041381836,-32.90699768066406,3.8296146392822266
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-22.355749130249023,-25.807266235351562,3.451517105102539
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-21.108184814453125,-31.178972244262695,10.07078742980957
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-22.600025177001953,-33.069915771484375,10.469890594482422
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-24.547649383544922,-27.438549041748047,2.890899658203125
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-22.677675247192383,-26.612308502197266,3.934633255004883
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-25.26693344116211,-28.50324821472168,3.2363147735595703
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-23.54424285888672,-25.230113983154297,1.6858711242675781
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-22.917863845825195,-24.60373306274414,1.6858692169189453
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-26.645557403564453,-30.572063446044922,3.9265060424804688
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-26.74591827392578,-28.474958419799805,1.7290401458740234
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-25.1059513092041,-31.645095825195312,6.539144515991211
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-24.47957420349121,-31.018714904785156,6.539140701293945
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-23.258747100830078,-23.365028381347656,0.10628128051757812
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-23.359106063842773,-21.26792335510254,-2.0911827087402344
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-29.392562866210938,-31.272930145263672,1.8803672790527344
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-28.494462966918945,-26.56810760498047,-1.9263553619384766
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-26.074695587158203,-32.17893981933594,6.104244232177734
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-23.684688568115234,-30.333934783935547,6.6492462158203125
