frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-26.539636611938477,-41.90367889404297,15.364042282104492
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-39.511512756347656,-49.68067932128906,10.169166564941406
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.526458740234375,-36.656036376953125,1.12957763671875
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-36.9115104675293,-35.26247787475586,-1.6490325927734375
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-31.782569885253906,-33.301544189453125,1.5189743041992188
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-40.826595306396484,-40.87423324584961,0.047637939453125
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.19964599609375,-28.82799530029297,-3.3716506958007812
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-35.694252014160156,-32.409568786621094,-3.2846832275390625
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-28.826839447021484,-30.336402893066406,1.5095634460449219
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-35.773948669433594,-27.936033248901367,-7.837915420532227
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-38.873680114746094,-55.75243377685547,16.878753662109375
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-53.503231048583984,-57.86886978149414,4.365638732910156
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.35669708251953,-35.032039642333984,0.6753425598144531
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-27.377166748046875,-37.000648498535156,9.623481750488281
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-33.52851867675781,-43.97677993774414,10.448261260986328
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-32.80019760131836,-39.232112884521484,6.431915283203125
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-33.70124053955078,-38.37120819091797,4.6699676513671875
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-40.55939483642578,-43.8239860534668,3.2645912170410156
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-33.508445739746094,-39.501304626464844,5.99285888671875
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-28.933780670166016,-37.27070236206055,8.336921691894531
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-47.13768005371094,-44.09087371826172,-3.0468063354492188
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-37.78187942504883,-37.68119812011719,-0.10068130493164062
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-42.207183837890625,-42.13926696777344,-0.0679168701171875
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-40.45392608642578,-39.90643310546875,-0.5474929809570312
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-39.0166015625,-43.13129425048828,4.114692687988281
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-37.80035400390625,-42.87691116333008,5.076557159423828
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-41.62665939331055,-36.78682327270508,-4.839836120605469
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-38.45378112792969,-29.729888916015625,-8.723892211914062
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-41.01849365234375,-39.435203552246094,-1.5832901000976562
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-41.52021408081055,-36.68818664550781,-4.832027435302734
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-28.283817291259766,-33.852413177490234,5.568595886230469
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-26.026607513427734,-41.30390548706055,15.277297973632812
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-40.124000549316406,-44.71737289428711,4.593372344970703
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-32.233882904052734,-39.410118103027344,7.176235198974609
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-27.393413543701172,-26.486740112304688,-0.9066734313964844
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-23.893550872802734,-33.64230728149414,9.748756408691406
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-34.98606491088867,-43.63672637939453,8.65066146850586
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-28.100383758544922,-45.41419982910156,17.31381607055664
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-28.325984954833984,-36.220970153808594,7.894985198974609
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-21.030319213867188,-45.65414047241211,24.623821258544922
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-23.43848419189453,-40.26850128173828,16.83001708984375
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-26.402084350585938,-35.706424713134766,9.304340362548828
