frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment really benefited the community.,The community was really benefited by your investment.,benefited,Advantage,donation,communities,0,-24.965463638305664,-28.86570167541504,3.900238037109375
1,A,2,Your investment really profited the community.,The community was really profited by your investment.,profited,Advantage,donation,communities,0,-27.673654556274414,-31.56475067138672,3.8910961151123047
2,A,1,The exercise really helped his fitness.,His fitness was really helped by the exercise.,helped,Advantage,exercise,fitness,1,-25.48957061767578,-27.54398536682129,2.054414749145508
2,A,2,The exercise really strengthened his fitness.,His fitness was really strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-27.314212799072266,-29.69890594482422,2.384693145751953
3,A,1,Our friendship really benefited my life.,My life was really benefited by our friendship.,benefited,Advantage,friendship,life,0,-26.390417098999023,-28.651321411132812,2.260904312133789
3,A,2,Our friendship really profited my life.,My life was really profited by our friendship.,profited,Advantage,friendship,life,0,-27.857912063598633,-31.35036849975586,3.4924564361572266
4,A,1,The law really helped these workers.,These workers were really helped by the law.,helped,Advantage,law,workers,1,-26.11380386352539,-23.871700286865234,-2.2421035766601562
4,A,2,The law really strengthened these workers.,These workers were really strengthened by the law.,strengthened,Advantage,law,workers,1,-28.496410369873047,-26.026620864868164,-2.469789505004883
5,A,1,The treaty really benefited both countries.,Both countries were really benefited by the treaty.,benefited,Advantage,treaty,countries,0,-25.62944793701172,-28.3795223236084,2.7500743865966797
5,A,2,The treaty really strengthened both countries.,Both countries were really strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-28.120168685913086,-28.583337783813477,0.4631690979003906
6,A,1,Your dish really cost ninety dollars.,Ninety dollars was really cost by your dish.,cost,Price,dish,dollars,0,-30.868623733520508,-32.89601135253906,2.0273876190185547
6,A,2,Your dish really fetched ninety dollars.,Ninety dollars was really fetched by your dish.,fetched,Price,dish,dollars,1,-33.043148040771484,-35.5565299987793,2.5133819580078125
7,A,1,The painting really earned a fortune.,A fortune was really earned by the painting.,earned,Price,painting,fortune,1,-25.741825103759766,-28.57373046875,2.8319053649902344
8,A,2,The tickets really cost a lot of money.,A lot of money was really cost by the tickets.,cost,Price,initiative,money,0,-24.30437660217285,-33.058929443359375,8.754552841186523
8,A,1,The tickets really fetched a lot of money.,A lot of money was really fetched by the tickets.,fetched,Price,initiative,money,1,-26.5657958984375,-35.71944808959961,9.15365219116211
9,A,2,Your book really earned thirty dollars.,Thirty dollars was really earned by your book.,earned,Price,book,dollars,1,-27.933725357055664,-30.205013275146484,2.2712879180908203
10,A,1,His actions really cost the medal.,The medal was really cost by his actions.,cost,Price,actions,medal,0,-25.87386703491211,-28.49226188659668,2.6183948516845703
10,A,2,His actions really fetched the medal.,The medal was really fetched by his actions.,fetched,Price,actions,medal,1,-29.232704162597656,-31.152780532836914,1.9200763702392578
11,A,1,My friend really emanated confidence.,Confidence was really emanated by my friend.,emanated,Ooze,friend,confidence,0,-27.510011672973633,-27.87964630126953,0.36963462829589844
11,A,2,My friend really radiated confidence.,Confidence was really radiated by my friend.,radiated,Ooze,friend,confidence,0,-26.88363265991211,-27.253265380859375,0.3696327209472656
12,A,1,The lightbulb really discharged some light.,Some light was really discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-30.611328125,-34.83085250854492,4.219524383544922
12,A,2,The lightbulb really emitted some light.,Some light was really emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-30.711688995361328,-31.827648162841797,1.1159591674804688
13,A,1,That machine really emanated a sound.,A sound was really emanated by that machine.,emanated,Ooze,machine,sound,0,-29.07172203063965,-34.29462814331055,5.222906112670898
