subject,object,verb,sentence,active,passive,affectedness,active_tokens,passive_tokens,tokens_active,tokens_passive,active_score,passive_score,pass_drop
the patient,news of his test results,received,The patient received news of his test results.,The patient received news of his test results.,News of his test results was received by the patient.,low,12,14,12,14,-36.875205993652344,-40.31651306152344,3.4413070678710938
Marie,pasta,liked,Marie liked pasta.,Marie liked pasta.,Pasta was liked by Marie.,low,5,8,5,8,-23.267423629760742,-38.66305160522461,15.395627975463867
The dog,its owner,trusted,The dog trusted its owner completely.,The dog trusted its owner completely.,Its owner was trusted completely by the dog.,low,12,14,12,14,-32.041015625,-46.03258514404297,13.991569519042969
the fridge,the groceries,received,The fridge received the groceries.,The fridge received the groceries.,The groceries were received by the fridge.,low,7,9,7,9,-38.60823059082031,-37.001041412353516,-1.6071891784667969
The translator,the speaker's dialect,understood,The translator understood the speaker's dialect effortlessly.,The translator understood the speaker's dialect effortlessly.,The speaker's dialect was understood effortlessly by the translator.,low,12,14,12,14,-47.385074615478516,-54.355255126953125,6.970180511474609
The new smartphone,a small fortune,cost,The new smartphone cost a small fortune.,The new smartphone cost a small fortune.,A small fortune was cost by the new smartphone.,low,9,11,9,11,-31.23131561279297,-49.879512786865234,18.648197174072266
The sculpture,a twisting vine,resembled,The sculpture resembled a twisting vine.,The sculpture resembled a twisting vine.,A twisting vine was resembled by the sculpture.,low,9,11,9,11,-40.383872985839844,-60.32826614379883,19.944393157958984
the tourists,the local cuisine,liked,The tourists liked the local cuisine.,The tourists liked the local cuisine.,The local cuisine was liked by the tourists.,low,8,10,8,10,-29.56441307067871,-42.34154510498047,12.777132034301758
The baker,the cake fresh out of the oven,liked,The baker liked the cake fresh out of the oven.,The baker liked the cake fresh out of the oven.,The cake was liked fresh out of the oven by the baker.,low,14,16,14,16,-38.60866165161133,-50.26559829711914,11.656936645507812
the patient,immediate medical attention,needed,The patient needed immediate medical attention.,The patient needed immediate medical attention.,Immediate medical attention was needed by the patient.,low,10,13,10,13,-23.201923370361328,-41.62990188598633,18.427978515625
the veteran,the fallen comrades,remembered,The veteran remembered the fallen comrades.,The veteran remembered the fallen comrades.,The fallen comrades were remembered by the veteran.,low,8,10,8,10,-34.71089553833008,-40.60095977783203,5.890064239501953
The athlete,the crucial shot at the goal,missed,The athlete missed the crucial shot at the goal.,The athlete missed the crucial shot at the goal.,The crucial shot at the goal was missed by the athlete.,low,11,13,11,13,-36.95436096191406,-52.44614791870117,15.49178695678711
the children,the long homework assignments,dreaded,The children dreaded the long homework assignments.,The children dreaded the long homework assignments.,The long homework assignments were dreaded by the children.,low,11,13,11,13,-42.34996032714844,-54.57616424560547,12.226203918457031
The committee,the researcher's efforts,recognized,The committee recognized the researcher's efforts.,The committee recognized the researcher's efforts.,The researcher's efforts were recognized by the committee.,low,11,13,11,13,-41.41462326049805,-42.6038932800293,1.18927001953125
the historian,the ancient script,knew,The historian knew the ancient script.,The historian knew the ancient script.,The ancient script was knew by the historian.,low,10,12,10,12,-37.5278205871582,-52.71223068237305,15.184410095214844
The villagers,the dragon,feared,The villagers feared the dragon.,The villagers feared the dragon.,The dragon was feared by the villagers.,low,9,11,9,11,-29.140064239501953,-34.71331024169922,5.573246002197266
The teacher,the student's struggles,understood,The teacher understood the student's struggles.,The teacher understood the student's struggles.,The student's struggles were understood by the teacher.,low,11,13,11,13,-30.706995010375977,-43.19491958618164,12.487924575805664
The recipe,the ingredients we needed,had,The recipe had all the ingredients we needed.,The recipe had all the ingredients we needed.,All the ingredients we needed were had by the recipe.,low,11,13,11,13,-30.53057289123535,-51.048828125,20.51825523376465
The passerby,the heated argument,overheard,The passerby overheard the heated argument.,The passerby overheard the heated argument.,The heated argument was overheard by the passerby.,low,10,12,10,12,-35.895179748535156,-39.225650787353516,3.3304710388183594
the observer,the small details in the artwork,noticed,The observer noticed the small details in the artwork.,The observer noticed the small details in the artwork.,The small details in the artwork were noticed by the observer.,low,14,16,14,16,-40.4223518371582,-51.053775787353516,10.631423950195312
they,the announcement,heard,They heard the announcement.,They heard the announcement.,The announcement was heard by them.,low,8,10,8,10,-17.06334686279297,-33.452491760253906,16.389144897460938
the community,the elderly man,respected,The community respected the elderly man for his wisdom.,The community respected the elderly man for his wisdom.,The elderly man was respected by the community for his wisdom.,low,11,13,11,13,-35.22483825683594,-43.069583892822266,7.844745635986328
The museum,Many artifacts from ancient Egypt,had,The museum had many artifacts from ancient Egypt.,The museum had many artifacts from ancient Egypt.,Many artifacts from ancient Egypt were had by the museum.,low,12,14,12,14,-35.432289123535156,-50.87188720703125,15.439598083496094
The menu,Vegetarian options,had,The menu had vegetarian options.,The menu had vegetarian options.,Vegetarian options were had by the menu.,low,9,11,9,11,-29.301223754882812,-40.02821350097656,10.72698974609375
The team,their coach's strategies,respected,The team respected their coach's strategies.,The team respected their coach's strategies.,Their coach's strategies were respected by the team.,low,9,11,9,11,-36.77021789550781,-47.338191986083984,10.567974090576172
the child,the dark shadows,feared,The child feared the dark shadows.,The child feared the dark shadows.,The dark shadows were feared by the child.,low,9,11,9,11,-33.20203399658203,-41.37145233154297,8.169418334960938
the new laptop,a thousand dollars,cost,The new laptop cost a thousand dollars.,The new laptop cost a thousand dollars.,A thousand dollars were cost by the new laptop.,low,9,11,9,11,-32.19007110595703,-54.779449462890625,22.589378356933594
the service,ten dollars,cost,The service cost ten dollars.,The service cost ten dollars.,Ten dollars were cost by the service.,low,7,9,7,9,-25.84355354309082,-38.253822326660156,12.410268783569336
the veteran,the comrades he lost,remembered,The veteran remembered the comrades he lost.,The veteran remembered the comrades he lost.,The comrades he lost were remembered by the veteran.,low,9,11,9,11,-44.589359283447266,-49.59156036376953,5.002201080322266
the project,sufficient funding,lacked,The project lacked sufficient funding.,The project lacked sufficient funding.,Sufficient funding was lacked by the project.,low,7,10,7,10,-24.409696578979492,-50.70487976074219,26.295183181762695
The report,crucial data,lacked,The report lacked crucial data for the analysis.,The report lacked crucial data for the analysis.,Crucial data for the analysis was lacked by the report.,low,11,14,11,14,-35.36784362792969,-52.13079833984375,16.762954711914062
the report,detailed information about the project's timeline,lacked,The report lacked detailed information about the project's timeline.,The report lacked detailed information about the project's timeline.,Detailed information about the project's timeline was lacked by the report.,low,15,17,15,17,-35.48725891113281,-49.91783905029297,14.430580139160156
the laptop,an update,received,The laptop received an update.,The laptop received an update.,An update was received by the laptop.,low,8,10,8,10,-28.475597381591797,-32.796424865722656,4.320827484130859
the detector,gas leaks,sensed,The detector sensed gas leaks.,The detector sensed gas leaks.,Gas leaks were sensed by the detector.,low,10,12,10,12,-37.636234283447266,-39.412445068359375,1.7762107849121094
The repair,the homeowner,cost,The repair cost a small fortune.,The repair cost a small fortune.,A small fortune was cost by the repair.,low,8,10,8,10,-25.738529205322266,-49.167179107666016,23.42864990234375
the car,five passengers,had,The car had five passengers.,The car had five passengers.,Five passengers were had by the car.,low,7,9,7,9,-21.931556701660156,-38.20833969116211,16.276782989501953
the project,funds,lacked,The project lacked funds.,The project lacked funds.,Funds were lacked by the project.,low,6,9,6,9,-24.908031463623047,-29.202457427978516,4.294425964355469
she,the upcoming presentation,dreaded,The manager dreaded the upcoming presentation.,The manager dreaded the upcoming presentation.,The upcoming presentation was dreaded by the manager.,low,10,12,10,12,-34.3232536315918,-49.87440872192383,15.551155090332031
