frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-30.094682693481445,-40.064735412597656,9.970052719116211
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-39.39289855957031,-45.387474060058594,5.994575500488281
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-36.70738220214844,-35.642242431640625,-1.0651397705078125
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-35.15273666381836,-35.655601501464844,0.5028648376464844
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-29.50330352783203,-32.84410095214844,3.3407974243164062
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-36.45134353637695,-42.62150955200195,6.170166015625
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-33.223880767822266,-28.405757904052734,-4.818122863769531
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-40.130157470703125,-34.435813903808594,-5.694343566894531
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-29.8624267578125,-29.54790687561035,-0.31451988220214844
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-35.304039001464844,-28.845430374145508,-6.458608627319336
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-37.66608428955078,-53.903663635253906,16.237579345703125
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-46.741451263427734,-49.970767974853516,3.2293167114257812
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-33.75215530395508,-35.22074508666992,1.4685897827148438
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-23.643409729003906,-41.022499084472656,17.37908935546875
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-33.08523941040039,-39.47454833984375,6.389308929443359
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-33.764617919921875,-36.03091812133789,2.2663002014160156
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-31.70949935913086,-46.97893524169922,15.26943588256836
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-37.228553771972656,-43.70191192626953,6.473358154296875
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-37.027854919433594,-33.549034118652344,-3.47882080078125
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-31.857419967651367,-33.88496780395508,2.027547836303711
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-37.94383239746094,-48.72840118408203,10.784568786621094
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-34.660518646240234,-41.92103958129883,7.260520935058594
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-43.83543395996094,-44.57160949707031,0.736175537109375
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-37.83888244628906,-46.32164764404297,8.482765197753906
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-37.09018325805664,-44.81888198852539,7.72869873046875
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-34.11752700805664,-42.11250686645508,7.9949798583984375
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-46.311859130859375,-40.64730453491211,-5.664554595947266
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-38.754032135009766,-35.65382766723633,-3.1002044677734375
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-43.38249206542969,-37.68143081665039,-5.701061248779297
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-39.61003494262695,-34.723060607910156,-4.886974334716797
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-32.034095764160156,-35.19865036010742,3.1645545959472656
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-29.98868179321289,-35.930213928222656,5.941532135009766
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-35.764320373535156,-44.28359603881836,8.519275665283203
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-30.193357467651367,-39.83890914916992,9.645551681518555
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-25.968971252441406,-29.53584861755371,3.5668773651123047
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-23.967424392700195,-29.379077911376953,5.411653518676758
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-36.16939163208008,-43.587974548339844,7.418582916259766
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-29.816247940063477,-40.26249313354492,10.446245193481445
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-26.660202026367188,-33.44683837890625,6.7866363525390625
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-22.4807071685791,-44.55048370361328,22.06977653503418
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-26.92156219482422,-36.921165466308594,9.999603271484375
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.80879020690918,-35.25910949707031,5.450319290161133
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-28.127086639404297,-48.84225082397461,20.715164184570312
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-31.957979202270508,-43.064048767089844,11.106069564819336
