frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-28.684425354003906,-42.40699768066406,13.722572326660156
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-39.83285140991211,-47.80324172973633,7.970390319824219
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-37.182586669921875,-35.771080017089844,-1.4115066528320312
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.18951416015625,-37.09971618652344,2.9102020263671875
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-27.978395462036133,-34.706790924072266,6.728395462036133
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-36.475616455078125,-40.91421127319336,4.438594818115234
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-35.802284240722656,-28.709794998168945,-7.092489242553711
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-40.348182678222656,-33.05280303955078,-7.295379638671875
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-31.024921417236328,-34.500640869140625,3.475719451904297
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-35.93873977661133,-27.78636932373047,-8.15237045288086
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-37.056766510009766,-47.739559173583984,10.682792663574219
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-49.53864288330078,-51.744850158691406,2.206207275390625
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.25783157348633,-37.53522872924805,3.2773971557617188
