frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-31.50135612487793,-41.62544250488281,10.124086380004883
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-38.67904281616211,-45.42314147949219,6.744098663330078
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.40102005004883,-37.0739631652832,1.672943115234375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-36.608734130859375,-37.425384521484375,0.816650390625
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-30.5591983795166,-32.42314529418945,1.8639469146728516
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-31.501243591308594,-37.36445999145508,5.863216400146484
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-33.63765335083008,-30.274024963378906,-3.363628387451172
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-39.470462799072266,-35.52306365966797,-3.947399139404297
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-27.686124801635742,-29.763887405395508,2.0777626037597656
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-34.71007537841797,-27.959383010864258,-6.750692367553711
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-36.71632766723633,-52.49420166015625,15.777873992919922
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-44.34984588623047,-51.91315460205078,7.5633087158203125
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.28742599487305,-36.23334884643555,1.9459228515625
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-24.985790252685547,-43.22991180419922,18.244121551513672
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-37.57987976074219,-41.45890426635742,3.8790245056152344
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-30.248531341552734,-36.10831069946289,5.859779357910156
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-30.59314727783203,-44.80112838745117,14.20798110961914
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-34.121116638183594,-43.80772018432617,9.686603546142578
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-34.088096618652344,-40.327144622802734,6.239048004150391
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-25.977285385131836,-37.92069625854492,11.943410873413086
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-42.15788269042969,-41.70796585083008,-0.4499168395996094
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-36.18708038330078,-36.43677520751953,0.24969482421875
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-44.513858795166016,-42.67869186401367,-1.8351669311523438
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-36.79865264892578,-44.44511032104492,7.646457672119141
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-39.21797180175781,-40.924354553222656,1.7063827514648438
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-36.47344207763672,-42.69566345214844,6.222221374511719
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-42.26837158203125,-38.26569366455078,-4.002677917480469
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-38.74800109863281,-35.369293212890625,-3.3787078857421875
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-48.639991760253906,-42.483985900878906,-6.156005859375
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-46.701690673828125,-37.15723419189453,-9.544456481933594
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-29.890722274780273,-36.75823211669922,6.867509841918945
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-27.69858169555664,-43.05001449584961,15.351432800292969
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-43.2706298828125,-45.136253356933594,1.8656234741210938
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-35.72665023803711,-38.464111328125,2.7374610900878906
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-26.873390197753906,-29.0568904876709,2.183500289916992
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-26.027263641357422,-36.655033111572266,10.627769470214844
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-39.25577163696289,-45.65171813964844,6.395946502685547
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-33.34779357910156,-45.54390335083008,12.196109771728516
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-27.58921241760254,-38.986061096191406,11.396848678588867
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-23.408367156982422,-44.48188400268555,21.073516845703125
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-26.299774169921875,-41.50996017456055,15.210186004638672
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-27.196765899658203,-38.953670501708984,11.756904602050781
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-27.0876522064209,-47.512969970703125,20.425317764282227
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.718578338623047,-40.934268951416016,10.215690612792969
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-33.06399917602539,-49.87088394165039,16.806884765625
