test,accuracy
wh_questions_object_gap,0.806
irregular_plural_subject_verb_agreement_1,0.931
matrix_question_npi_licensor_present,0.648
existential_there_object_raising,0.81
wh_vs_that_no_gap_long_distance,0.973
wh_questions_subject_gap,0.956
animate_subject_passive,0.801
ellipsis_n_bar_1,0.842
determiner_noun_agreement_with_adj_irregular_2,0.944
regular_plural_subject_verb_agreement_2,0.95
anaphor_gender_agreement,0.955
principle_A_domain_3,0.526
passive_2,0.919
left_branch_island_simple_question,0.577
superlative_quantifiers_2,0.85
coordinate_structure_constraint_object_extraction,0.872
principle_A_c_command,0.673
sentential_negation_npi_licensor_present,0.983
sentential_negation_npi_scope,0.781
determiner_noun_agreement_irregular_1,0.923
determiner_noun_agreement_2,0.99
principle_A_case_2,0.968
wh_vs_that_with_gap,0.601
anaphor_number_agreement,0.994
principle_A_domain_1,0.992
tough_vs_raising_1,0.631
npi_present_2,0.605
irregular_past_participle_verbs,0.897
complex_NP_island,0.551
regular_plural_subject_verb_agreement_1,0.926
only_npi_scope,0.778
wh_island,0.782
wh_vs_that_no_gap,0.978
left_branch_island_echo_question,0.307
determiner_noun_agreement_1,0.991
irregular_past_participle_adjectives,0.947
principle_A_case_1,1.0
wh_vs_that_with_gap_long_distance,0.471
determiner_noun_agreement_with_adjective_1,0.963
transitive,0.908
ellipsis_n_bar_2,0.851
inchoative,0.695
existential_there_subject_raising,0.889
tough_vs_raising_2,0.927
drop_argument,0.819
animate_subject_trans,0.81
existential_there_quantifiers_2,0.657
wh_questions_subject_gap_long_distance,0.888
determiner_noun_agreement_irregular_2,0.972
existential_there_quantifiers_1,0.97
npi_present_1,0.574
irregular_plural_subject_verb_agreement_2,0.919
intransitive,0.844
coordinate_structure_constraint_complex_left_branch,0.572
expletive_it_object_raising,0.78
principle_A_domain_2,0.836
only_npi_licensor_present,0.771
superlative_quantifiers_1,0.734
causative,0.769
determiner_noun_agreement_with_adj_2,0.958
distractor_agreement_relative_clause,0.773
passive_1,0.904
distractor_agreement_relational_noun,0.882
adjunct_island,0.852
principle_A_reconstruction,0.417
determiner_noun_agreement_with_adj_irregular_1,0.922
sentential_subject_island,0.329
