active,passive,verb,bad,exclude,match
The teacher arranged the chairs.,The chairs were arranged by the teacher.,arrange,,,True
The office arranged the documents.,The documents were arranged by the office.,arrange,,,True
The gardener arranged the flowers.,The flowers were arranged by the gardener.,arrange,,,True
The artist arranged the colors.,The colors were arranged by the artist.,arrange,,,True
The manager arranged the meetings.,The meetings were arranged by the manager.,arrange,,,True
The committee arranged the events.,The events were arranged by the committee.,arrange,,,True
The programmer arranged the code.,The code was arranged by the programmer.,arrange,,,True
The chef arranged the ingredients.,The ingredients were arranged by the chef.,arrange,,,True
The librarian arranged the books.,The books were arranged by the librarian.,arrange,,,True
The technician installed the software.,The software was installed by the technician.,install,,,True
The team installed a new system.,The new system was installed by the team.,install,,,False
The workers installed the equipment.,The equipment was installed by the workers.,install,,,True
The contractor installed the roof.,The roof was installed by the contractor.,install,,,True
The expert installed the update.,The update was installed by the expert.,install,,,True
The company installed the new feature.,The new feature was installed by the company.,install,,,True
The technician installed new wiring.,The new wiring was installed by the technician.,install,,,False
The crew installed the flooring.,The flooring was installed by the crew.,install,,,True
The team installed the app.,The app was installed by the team.,install,,,True
The artist positioned the sculpture carefully.,The sculpture was positioned carefully by the artist.,position,,,True
The teacher positioned the desks in rows.,The desks were positioned in rows by the teacher.,position,,,True
The technician positioned the satellite accurately.,The satellite was accurately positioned by the technician.,position,,,True
The photographer positioned the subject for the shot.,The subject was positioned for the shot by the photographer.,position,,,True
The director positioned the cameras for the scene.,The cameras were positioned for the scene by the director.,position,,,True
The coach positioned the players strategically.,The players were positioned strategically by the coach.,position,,,True
The engineer positioned the equipment for testing.,The equipment was positioned for testing by the engineer.,position,,,True
The manager positioned the team for success.,The team was positioned for success by the manager.,position,,,True
The magician positioned the props on the stage.,The props were positioned on the stage by the magician.,position,,,True
The cat dangled its tail.,The tail was dangled by the cat.,dangle,,,False
The child dangled a toy.,The toy was dangled by the child.,dangle,,,False
The bird dangled its feet.,The feet were dangled by the bird.,dangle,,,False
The artist dangled a brush.,Output: A brush was dangled by the artist.,dangle,,,False
The hammock dangled in the breeze.,The breeze held the hammock.,dangle,x,,False
The fisherman dangled a lure.,The lure was dangled by the fisherman.,dangle,,,False
The shirt dangled from the line.,The shirt was dangled from the line.,dangle,x,,False
The keys dangled from a hook.,The keys were dangled from a hook.,dangle,x,,False
The dog dangled its tongue.,The tongue was dangled by the dog.,dangle,,,False
The truck dumped the gravel.,The gravel was dumped by the truck.,dump,,,True
The worker dumped the trash.,The trash was dumped by the worker.,dump,,,True
The company dumped the chemicals.,The chemicals were dumped by the company.,dump,,,True
The children dumped the toys.,The toys were dumped by the children.,dump,,,True
The team dumped the old equipment.,The old equipment was dumped by the team.,dump,,,True
A neighbor dumped the leaves.,The leaves were dumped by a neighbor.,dump,,,True
The farmer dumped the feed.,The feed was dumped by the farmer.,dump,,,True
The gardener dumped the soil.,The soil was dumped by the gardener.,dump,,,True
