Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-31.593212127685547,-43.28257369995117,11.689361572265625
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-31.593212127685547,-43.28257369995117,11.689361572265625
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-29.907716751098633,-40.70146560668945,10.79374885559082
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-29.907716751098633,-40.70146560668945,10.79374885559082
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-21.23263931274414,-38.25032424926758,17.017684936523438
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-21.23263931274414,-38.25032424926758,17.017684936523438
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-35.92019271850586,-33.04920196533203,-2.870990753173828
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-35.92019271850586,-33.04920196533203,-2.870990753173828
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-38.37607955932617,-39.282615661621094,0.9065361022949219
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-38.37607955932617,-39.282615661621094,0.9065361022949219
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-32.6070671081543,-41.13801956176758,8.530952453613281
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-32.6070671081543,-41.13801956176758,8.530952453613281
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-34.375213623046875,-41.47142028808594,7.0962066650390625
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-34.375213623046875,-41.47142028808594,7.0962066650390625
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-36.9351921081543,-36.0477294921875,-0.8874626159667969
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-36.9351921081543,-36.0477294921875,-0.8874626159667969
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-41.49139404296875,-36.707881927490234,-4.783512115478516
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-41.49139404296875,-36.707881927490234,-4.783512115478516
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-35.87270736694336,-38.182273864746094,2.3095664978027344
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-35.87270736694336,-38.182273864746094,2.3095664978027344
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-33.89342498779297,-34.519439697265625,0.6260147094726562
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-33.89342498779297,-34.519439697265625,0.6260147094726562
