frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-26.963672637939453,-42.693538665771484,15.729866027832031
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-36.32588195800781,-45.533599853515625,9.207717895507812
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-32.84822082519531,-33.317420959472656,0.46920013427734375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-35.10451126098633,-35.24864959716797,0.14413833618164062
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-30.676788330078125,-32.14299392700195,1.4662055969238281
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-37.38710403442383,-41.924400329589844,4.537296295166016
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-35.357635498046875,-27.917739868164062,-7.4398956298828125
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-39.482486724853516,-32.82634735107422,-6.656139373779297
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-31.012500762939453,-32.50898742675781,1.4964866638183594
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-39.736087799072266,-29.806095123291016,-9.92999267578125
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-38.05663299560547,-51.90309524536133,13.84646224975586
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-47.40196990966797,-48.80955505371094,1.4075851440429688
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-33.12763977050781,-37.21220397949219,4.084564208984375
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-23.48283576965332,-40.63570022583008,17.152864456176758
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-36.797054290771484,-39.45938491821289,2.6623306274414062
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-32.035701751708984,-38.777008056640625,6.741306304931641
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-30.952892303466797,-44.71817398071289,13.765281677246094
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-32.61478042602539,-43.87664031982422,11.261859893798828
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.087745666503906,-38.899024963378906,2.811279296875
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-31.43109703063965,-39.776161193847656,8.345064163208008
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-42.101959228515625,-43.17360305786133,1.0716438293457031
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-39.04070281982422,-38.108280181884766,-0.9324226379394531
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-41.34899139404297,-43.35445785522461,2.0054664611816406
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-38.023773193359375,-43.886749267578125,5.86297607421875
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-40.49092102050781,-43.557518005371094,3.0665969848632812
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-38.63970947265625,-44.645206451416016,6.005496978759766
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-45.33439254760742,-39.8068962097168,-5.527496337890625
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-42.98247146606445,-36.24187088012695,-6.7406005859375
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-40.11650085449219,-41.85963821411133,1.7431373596191406
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-40.64392852783203,-36.40291213989258,-4.241016387939453
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-30.321035385131836,-36.869136810302734,6.548101425170898
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-31.249710083007812,-41.51280975341797,10.263099670410156
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-37.39419174194336,-43.12025451660156,5.726062774658203
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-33.064796447753906,-38.93360900878906,5.868812561035156
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-29.9237003326416,-28.46265983581543,-1.4610404968261719
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-25.957592010498047,-32.69332504272461,6.7357330322265625
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-32.97111129760742,-47.589542388916016,14.618431091308594
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-27.29233169555664,-47.26165008544922,19.969318389892578
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-24.396282196044922,-36.08183670043945,11.685554504394531
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-27.39849090576172,-47.4389533996582,20.040462493896484
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-27.405574798583984,-43.763084411621094,16.35750961303711
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.122684478759766,-37.326019287109375,8.20333480834961
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-26.409221649169922,-49.758949279785156,23.349727630615234
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.41035270690918,-47.21769332885742,16.807340621948242
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-31.829814910888672,-47.95813751220703,16.12832260131836
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-31.361042022705078,-30.492576599121094,-0.8684654235839844
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-27.093852996826172,-40.683597564697266,13.589744567871094
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-28.74142837524414,-31.63815689086914,2.896728515625
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-30.813676834106445,-35.058021545410156,4.244344711303711
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-38.159183502197266,-34.87580108642578,-3.2833824157714844
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-37.16530227661133,-35.188232421875,-1.9770698547363281
