Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-34.593204498291016,-32.09098815917969,-2.502216339111328
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-34.593204498291016,-32.09098815917969,-2.502216339111328
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-24.9912109375,-26.617576599121094,1.6263656616210938
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-24.9912109375,-26.617576599121094,1.6263656616210938
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-25.616796493530273,-25.363080978393555,-0.25371551513671875
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-25.616796493530273,-25.363080978393555,-0.25371551513671875
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-25.618661880493164,-21.179637908935547,-4.439023971557617
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-25.618661880493164,-21.179637908935547,-4.439023971557617
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-26.45423698425293,-23.40997886657715,-3.0442581176757812
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-26.45423698425293,-23.40997886657715,-3.0442581176757812
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-25.802560806274414,-21.8653507232666,-3.9372100830078125
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-25.802560806274414,-21.8653507232666,-3.9372100830078125
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-29.69488525390625,-26.449199676513672,-3.245685577392578
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-29.69488525390625,-26.449199676513672,-3.245685577392578
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-27.455135345458984,-23.56667709350586,-3.888458251953125
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-27.455135345458984,-23.56667709350586,-3.888458251953125
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-28.10390281677246,-24.292875289916992,-3.8110275268554688
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-28.10390281677246,-24.292875289916992,-3.8110275268554688
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-29.670793533325195,-25.964561462402344,-3.7062320709228516
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-29.670793533325195,-25.964561462402344,-3.7062320709228516
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-27.6447811126709,-23.435016632080078,-4.20976448059082
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-27.6447811126709,-23.435016632080078,-4.20976448059082
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.354753494262695,-26.580957412719727,-2.7737960815429688
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.354753494262695,-26.580957412719727,-2.7737960815429688
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-26.44672393798828,-24.435054779052734,-2.011669158935547
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-26.44672393798828,-24.435054779052734,-2.011669158935547
be,V459,2a,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-19.088891983032227,-30.9891300201416,11.900238037109375
be,V459,2b,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-19.088891983032227,-30.9891300201416,11.900238037109375
be,V459,1a,(e) Non-Passivizable,A father was been by Homer,Homer was a father,-19.088891983032227,-30.9891300201416,11.900238037109375
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-26.148941040039062,-34.04228210449219,7.893341064453125
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-26.148941040039062,-34.04228210449219,7.893341064453125
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-28.806873321533203,-32.098628997802734,3.2917556762695312
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-28.806873321533203,-32.098628997802734,3.2917556762695312
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge,Marge was a mother,-18.95865821838379,-30.92991828918457,11.971260070800781
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-28.663728713989258,-31.59762954711914,2.933900833129883
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-28.663728713989258,-31.59762954711914,2.933900833129883
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-24.636606216430664,-27.25814437866211,2.6215381622314453
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-24.636606216430664,-27.25814437866211,2.6215381622314453
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-25.751285552978516,-31.01609230041504,5.264806747436523
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-25.751285552978516,-31.01609230041504,5.264806747436523
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-23.850460052490234,-27.20903205871582,3.358572006225586
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-23.850460052490234,-27.20903205871582,3.358572006225586
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.82309913635254,-26.428272247314453,-0.39482688903808594
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.82309913635254,-26.428272247314453,-0.39482688903808594
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-25.957923889160156,-28.393638610839844,2.4357147216796875
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-25.957923889160156,-28.393638610839844,2.4357147216796875
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-24.805130004882812,-26.739803314208984,1.9346733093261719
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-24.805130004882812,-26.739803314208984,1.9346733093261719
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-26.795297622680664,-28.982940673828125,2.187643051147461
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-26.795297622680664,-28.982940673828125,2.187643051147461
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob,Bob abandonned Wendy,-23.282997131347656,-29.397014617919922,6.114017486572266
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob,Bob accepted the present,-20.30306625366211,-29.89519500732422,9.59212875366211
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob,Bob accompanied Wendy,-22.082626342773438,-23.323999404907227,1.241373062133789
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob,Bob admired Wendy,-22.14226722717285,-26.883821487426758,4.741554260253906
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob,Bob adored Wendy,-22.441957473754883,-28.55597496032715,6.114017486572266
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob,Bob advised Wendy,-21.813615798950195,-25.26445960998535,3.4508438110351562
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob,Bob aggravated Wendy,-22.250244140625,-25.686330795288086,3.436086654663086
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob,Bob agreed with Wendy,-22.60165786743164,-27.664913177490234,5.063255310058594
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob,Bob altered the plan,-19.740882873535156,-29.273256301879883,9.532373428344727
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob,Bob amazed Wendy,-22.417770385742188,-25.588464736938477,3.170694351196289
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob,Bob amused Wendy,-22.3113956451416,-25.462186813354492,3.1507911682128906
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob,Bob angered Wendy,-22.28057861328125,-24.372371673583984,2.0917930603027344
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob,Bob announced the date,-19.95686149597168,-27.868432998657227,7.911571502685547
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob,Bob annoyed Wendy,-22.145151138305664,-25.10002899169922,2.9548778533935547
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob,Bob appluaded Wendy,-23.282997131347656,-29.397014617919922,6.114017486572266
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob,Bob appreciated Wendy,-22.046850204467773,-26.923006057739258,4.876155853271484
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob,Bob argued with Wendy,-23.7775936126709,-29.968181610107422,6.190587997436523
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob,Bob arranged the display,-20.988706588745117,-28.803726196289062,7.815019607543945
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob,Bob asked the question,-17.77397918701172,-26.016008377075195,8.242029190063477
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob,Bob assassinated Wendy,-22.39039421081543,-24.46417236328125,2.0737781524658203
