frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment really benefited the community.,The community was really benefited by your investment.,benefited,Advantage,donation,communities,0,-24.262056350708008,-28.49199676513672,4.229940414428711
1,A,2,Your investment really profited the community.,The community was really profited by your investment.,profited,Advantage,donation,communities,0,-27.904136657714844,-31.923227310180664,4.01909065246582
2,A,1,The exercise really helped his fitness.,His fitness was really helped by the exercise.,helped,Advantage,exercise,fitness,1,-25.659677505493164,-27.141145706176758,1.4814682006835938
2,A,2,The exercise really strengthened his fitness.,His fitness was really strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-27.728801727294922,-29.537315368652344,1.8085136413574219
3,A,1,Our friendship really benefited my life.,My life was really benefited by our friendship.,benefited,Advantage,friendship,life,0,-25.701995849609375,-27.74640464782715,2.0444087982177734
3,A,2,Our friendship really profited my life.,My life was really profited by our friendship.,profited,Advantage,friendship,life,0,-27.849525451660156,-31.177635192871094,3.3281097412109375
4,A,1,The law really helped these workers.,These workers were really helped by the law.,helped,Advantage,law,workers,1,-26.469514846801758,-23.913854598999023,-2.5556602478027344
4,A,2,The law really strengthened these workers.,These workers were really strengthened by the law.,strengthened,Advantage,law,workers,1,-29.087722778320312,-26.310022354125977,-2.777700424194336
5,A,1,The treaty really benefited both countries.,Both countries were really benefited by the treaty.,benefited,Advantage,treaty,countries,0,-25.099658966064453,-26.904111862182617,1.804452896118164
5,A,2,The treaty really strengthened both countries.,Both countries were really strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-28.429418563842773,-28.14316749572754,-0.2862510681152344
6,A,1,Your dish really cost ninety dollars.,Ninety dollars was really cost by your dish.,cost,Price,dish,dollars,0,-31.113378524780273,-32.53025436401367,1.4168758392333984
6,A,2,Your dish really fetched ninety dollars.,Ninety dollars was really fetched by your dish.,fetched,Price,dish,dollars,1,-33.18635559082031,-35.31228256225586,2.125926971435547
7,A,1,The painting really earned a fortune.,A fortune was really earned by the painting.,earned,Price,painting,fortune,1,-25.6507511138916,-27.884511947631836,2.2337608337402344
