test,accuracy
wh_questions_object_gap,0.751
irregular_plural_subject_verb_agreement_1,0.894
matrix_question_npi_licensor_present,0.576
existential_there_object_raising,0.741
wh_vs_that_no_gap_long_distance,0.971
wh_questions_subject_gap,0.911
animate_subject_passive,0.783
ellipsis_n_bar_1,0.73
determiner_noun_agreement_with_adj_irregular_2,0.892
regular_plural_subject_verb_agreement_2,0.914
anaphor_gender_agreement,0.912
principle_A_domain_3,0.537
passive_2,0.885
left_branch_island_simple_question,0.414
superlative_quantifiers_2,0.635
coordinate_structure_constraint_object_extraction,0.8
principle_A_c_command,0.587
sentential_negation_npi_licensor_present,0.983
sentential_negation_npi_scope,0.744
determiner_noun_agreement_irregular_1,0.862
determiner_noun_agreement_2,0.958
principle_A_case_2,0.935
wh_vs_that_with_gap,0.504
anaphor_number_agreement,0.988
principle_A_domain_1,0.969
tough_vs_raising_1,0.585
npi_present_2,0.658
irregular_past_participle_verbs,0.821
complex_NP_island,0.519
regular_plural_subject_verb_agreement_1,0.874
only_npi_scope,0.674
wh_island,0.805
wh_vs_that_no_gap,0.976
left_branch_island_echo_question,0.402
determiner_noun_agreement_1,0.962
irregular_past_participle_adjectives,0.744
principle_A_case_1,1.0
wh_vs_that_with_gap_long_distance,0.241
determiner_noun_agreement_with_adjective_1,0.919
transitive,0.825
ellipsis_n_bar_2,0.779
inchoative,0.668
existential_there_subject_raising,0.858
tough_vs_raising_2,0.883
drop_argument,0.795
animate_subject_trans,0.802
existential_there_quantifiers_2,0.581
wh_questions_subject_gap_long_distance,0.867
determiner_noun_agreement_irregular_2,0.933
existential_there_quantifiers_1,0.99
npi_present_1,0.551
irregular_plural_subject_verb_agreement_2,0.9
intransitive,0.782
coordinate_structure_constraint_complex_left_branch,0.307
expletive_it_object_raising,0.737
principle_A_domain_2,0.86
only_npi_licensor_present,0.792
superlative_quantifiers_1,0.782
causative,0.692
determiner_noun_agreement_with_adj_2,0.898
distractor_agreement_relative_clause,0.695
passive_1,0.845
distractor_agreement_relational_noun,0.867
adjunct_island,0.829
principle_A_reconstruction,0.447
determiner_noun_agreement_with_adj_irregular_1,0.841
sentential_subject_island,0.391
