active,passive,verb,bad,exclude
The teacher noticed the mistake.,The mistake was noticed by the teacher.,notice,,
The cat noticed a movement.,The movement was noticed by the cat.,notice,,
The crowd noticed the parade.,The parade was noticed by the crowd.,notice,,
The doctor noticed a change.,The change was noticed by the doctor.,notice,,
The artist noticed the detail.,The detail was noticed by the artist.,notice,,
The child noticed the butterfly.,The butterfly was noticed by the child.,notice,,
The librarian noticed the late book.,The late book was noticed by the librarian.,notice,,
The coach noticed the improvement.,The improvement was noticed by the coach.,notice,,
The friend noticed the sadness.,The sadness was noticed by the friend.,notice,,
The photographer noticed the lighting.,The lighting was noticed by the photographer.,notice,,
The woman dated a photographer.  ,The photographer was dated by the woman.,date,,
The student dated a classmate.  ,The classmate was dated by the student.,date,,
The artist dated a musician.  ,The musician was dated by the artist.,date,,
The professor dated a graduate.  ,The graduate was dated by the professor.,date,,
The lawyer dated a judge.  ,The judge was dated by the lawyer.,date,,
The scientist dated a researcher.  ,The researcher was dated by the scientist.,date,,
The teacher dated an author.  ,The author was dated by the teacher.,date,,
The director dated an actress.  ,The actress was dated by the director.,date,,
The engineer dated a designer.  ,The designer was dated by the engineer.,date,,
The rabbit munched the carrot.  ,The carrot was munched by the rabbit.,munch,,
The student munched popcorn.  ,The popcorn was munched by the student.,munch,,
The coworker munched a sandwich.  ,The sandwich was munched by the coworker.,munch,,
The athlete munched an energy bar.  ,The energy bar was munched by the athlete.,munch,,
The guest munched the chips.  ,The chips were munched by the guest.,munch,,
The bird munched the seeds.  ,The seeds were munched by the bird.,munch,,
The spray repulsed the insects.  ,The insects were repulsed by the spray.,repulse,,
The foul smell repulsed the guests.  ,The guests were repulsed by the foul smell.,repulse,,
The story repulsed the audience.  ,The audience was repulsed by the story.,repulse,,
The image repulsed the viewers.  ,The viewers were repulsed by the image.,repulse,,
The news repulsed the community.  ,The community was repulsed by the news.,repulse,,
The behavior repulsed the teachers.  ,The teachers were repulsed by the behavior.,repulse,,
The sight repulsed the tourists.  ,The tourists were repulsed by the sight.,repulse,,
The idea repulsed the students.  ,The students were repulsed by the idea.,repulse,,
The taste repulsed the diners.  ,The diners were repulsed by the taste.,repulse,,
The scene repulsed the critics.  ,The critics were repulsed by the scene.,repulse,,
The magician astonished the audience.,The audience was astonished by the magician.,astonish,,
The news astonished the reporters.,The reporters were astonished by the news.,astonish,,
The performance astonished the spectators.,The spectators were astonished by the performance.,astonish,,
The unexpected gift astonished the child.,The child was astonished by the unexpected gift.,astonish,,
The discovery astonished the scientists.,The scientists were astonished by the discovery.,astonish,,
The results astonished the researchers.,The researchers were astonished by the results.,astonish,,
The painting astonished the critics.,The critics were astonished by the painting.,astonish,,
The feat astonished the onlookers.,The onlookers were astonished by the feat.,astonish,,
The event astonished the community.,The community was astonished by the event.,astonish,,
The movie astonished the viewers.,The viewers were astonished by the movie.,astonish,,
The dog smelled the flower.,The flower was smelled by the dog.,smell,,
She smelled the fresh bread.,The fresh bread was smelled by her.,smell,,
The child smelled the cookies.,The cookies were smelled by the child.,smell,,
The scientist smelled the chemicals.,The chemicals were smelled by the scientist.,smell,,
The chef smelled the soup.,The soup was smelled by the chef.,smell,,
The detective smelled the smoke.,The smoke was smelled by the detective.,smell,,
The artist smelled the paint.,The paint was smelled by the artist.,smell,,
The teacher smelled the markers.,The markers were smelled by the teacher.,smell,,
The visitor smelled the perfume.,The perfume was smelled by the visitor.,smell,,
The gardener smelled the roses.,The roses were smelled by the gardener.,smell,,
The news shocked the community.,The community was shocked by the news.,shock,,
The performance shocked the audience.,The audience was shocked by the performance.,shock,,
The accident shocked the witnesses.,The witnesses were shocked by the accident.,shock,,
The revelation shocked the researchers.,The researchers were shocked by the revelation.,shock,,
The movie shocked the critics.,The critics were shocked by the movie.,shock,,
The statistic shocked the analysts.,The analysts were shocked by the statistic.,shock,,
The comment shocked the participants.,The participants were shocked by the comment.,shock,,
The discovery shocked the team.,The team was shocked by the discovery.,shock,,
The demonstration shocked the crowd.,The crowd was shocked by the demonstration.,shock,,
The dog barked at the mailman.,The mailman was barked at by the dog.,bark,,
The crowd barked insults.,Insults were barked by the crowd.,bark,,
The guard barked orders.,Orders were barked by the guard.,bark,,
The old man barked complaints.,Complaints were barked by the old man.,bark,,
The coach barked instructions.,Instructions were barked by the coach.,bark,,
The parrot barked a funny phrase.,The funny phrase was barked by the parrot.,bark,,
The wound bled red blood.,The red blood was bled from the wound.,bleed,,
The knife bled fresh juice.,The fresh juice was bled by the knife.,bleed,,
The tree bled sap onto the ground.,The sap was bled onto the ground by the tree.,bleed,,
The machine bled oil onto the floor.,The oil was bled onto the floor by the machine.,bleed,,
The painting bled paint over the canvas.,The canvas was bled on by the painting.,bleed,,
The fountain pen bled ink.,Ink was bled by the fountain pen.,bleed,,
The magician stunned the audience.,The audience was stunned by the magician.,stun,,
The news stunned the crowd.,The crowd was stunned by the news.,stun,,
The performance stunned the judges.,The judges were stunned by the performance.,stun,,
The result stunned the players.,The players were stunned by the result.,stun,,
The revelation stunned the guests.,The guests were stunned by the revelation.,stun,,
The accident stunned the witnesses.,The witnesses were stunned by the accident.,stun,,
The movie stunned the critics.,The critics were stunned by the movie.,stun,,
The storm stunned the town.,The town was stunned by the storm.,stun,,
The victory stunned the opponents.,The opponents were stunned by the victory.,stun,,
The discovery stunned the scientists.,The scientists were stunned by the discovery.,stun,,
The detective sensed a disturbance.,The disturbance was sensed by the detective.,sense,,
The child sensed danger.,The danger was sensed by the child.,sense,,
The dog sensed the stranger.,The stranger was sensed by the dog.,sense,,
The musician sensed the rhythm.,The rhythm was sensed by the musician.,sense,,
The cat sensed the movement.,The movement was sensed by the cat.,sense,,
The athlete sensed the competition.,The competition was sensed by the athlete.,sense,,
The philosopher sensed the contradiction.,The contradiction was sensed by the philosopher.,sense,,
The scientist sensed an opportunity.,An opportunity was sensed by the scientist.,sense,,
The loud music distracted the students.,The students were distracted by the loud music.,distract,,
A phone call distracted the teacher.,The teacher was distracted by a phone call.,distract,,
The bright light distracted the driver.,The driver was distracted by the bright light.,distract,,
The unexpected noise distracted the presenter.,The presenter was distracted by the unexpected noise.,distract,,
The car crash distracted the pedestrians.,The pedestrians were distracted by the car crash.,distract,,
The movie distracted the audience.,The audience was distracted by the movie.,distract,,
The argument distracted the workers.,The workers were distracted by the argument.,distract,,
