frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-29.55962371826172,-38.36687469482422,8.8072509765625
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-41.88358688354492,-46.27782440185547,4.394237518310547
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-33.33019256591797,-35.52310562133789,2.192913055419922
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-33.153621673583984,-35.66478729248047,2.5111656188964844
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-32.34157180786133,-32.01569747924805,-0.32587432861328125
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-39.734153747558594,-43.18073272705078,3.4465789794921875
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.177772521972656,-29.35787010192871,-2.8199024200439453
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-35.461570739746094,-34.787086486816406,-0.6744842529296875
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-27.95748519897461,-31.94721221923828,3.989727020263672
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-37.12764358520508,-28.06909942626953,-9.058544158935547
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-38.057701110839844,-50.73471450805664,12.677013397216797
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-48.81330871582031,-52.06102752685547,3.2477188110351562
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.543113708496094,-35.636451721191406,1.0933380126953125
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-24.550636291503906,-41.745086669921875,17.19445037841797
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-32.29230499267578,-43.347496032714844,11.055191040039062
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-34.66180419921875,-36.928123474121094,2.2663192749023438
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-30.091148376464844,-43.86017608642578,13.769027709960938
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-37.471839904785156,-42.7796630859375,5.307823181152344
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.85704803466797,-47.374881744384766,10.517833709716797
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-32.76935958862305,-41.851619720458984,9.082260131835938
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-36.46070098876953,-41.17304229736328,4.71234130859375
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-34.9106330871582,-34.1524658203125,-0.7581672668457031
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-39.22869110107422,-42.62543869018555,3.396747589111328
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-38.78033447265625,-44.664974212646484,5.884639739990234
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-36.670372009277344,-44.763580322265625,8.093208312988281
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-34.413963317871094,-46.24580383300781,11.831840515136719
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-44.240509033203125,-42.29560852050781,-1.9449005126953125
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-46.48744583129883,-36.53908157348633,-9.9483642578125
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-44.970314025878906,-41.35064697265625,-3.6196670532226562
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-44.32123565673828,-40.26224136352539,-4.058994293212891
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-32.899051666259766,-34.73982620239258,1.8407745361328125
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-32.622764587402344,-40.221336364746094,7.59857177734375
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-41.54341125488281,-41.147239685058594,-0.39617156982421875
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-35.44292449951172,-38.984222412109375,3.5412979125976562
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-28.389204025268555,-29.404613494873047,1.0154094696044922
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-26.29857635498047,-37.12739562988281,10.828819274902344
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-36.28396987915039,-41.869041442871094,5.585071563720703
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-33.105796813964844,-49.64731216430664,16.541515350341797
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-27.91714096069336,-33.806907653808594,5.889766693115234
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-23.081501007080078,-45.5213508605957,22.439849853515625
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-28.47294044494629,-40.15191650390625,11.678976058959961
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.24515151977539,-35.43964385986328,6.194492340087891
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-26.02967071533203,-50.566566467285156,24.536895751953125
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-29.44253158569336,-43.75559997558594,14.313068389892578
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-32.77705383300781,-44.027130126953125,11.250076293945312
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-28.61815643310547,-30.350175857543945,1.7320194244384766
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-26.353010177612305,-41.16792297363281,14.814912796020508
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-27.01367950439453,-29.734851837158203,2.721172332763672
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-26.52043914794922,-35.86550521850586,9.34506607055664
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-39.54354476928711,-35.231956481933594,-4.311588287353516
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-34.366729736328125,-36.108428955078125,1.74169921875
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-33.91957473754883,-33.6700439453125,-0.24953079223632812
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-34.09792709350586,-38.78511047363281,4.687183380126953
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-30.158592224121094,-32.93093490600586,2.7723426818847656
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-37.48234176635742,-33.70509719848633,-3.7772445678710938
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-33.46596145629883,-27.203407287597656,-6.262554168701172
30,A,1,Your mother carried the child.,The child was carried by your mother.,carried,Agent-patient,your mother,the child,1,-23.967187881469727,-33.329620361328125,9.362432479858398
31,A,2,My brother saw your friend.,Your friend was seen by my brother.,saw,Experiencer-theme,my brother,your friend,1,-25.11195182800293,-30.68689727783203,5.574945449829102
31,A,1,Your dog saw the toy.,The toy was seen by your dog.,saw,Experiencer-theme,your dog,the toy,1,-27.47272491455078,-37.854026794433594,10.381301879882812
31,A,2,Your sister saw a book.,A book was seen by your sister.,saw,Experiencer-theme,your sister,a book,1,-26.652036666870117,-38.26156234741211,11.609525680541992
32,A,1,A boy heard the sound.,The sound was heard by a boy.,heard,Experiencer-theme,a boy,the sound,1,-25.474388122558594,-31.612651824951172,6.138263702392578
32,A,2,The child heard the rules.,The rules were heard by the child.,heard,Experiencer-theme,the rules,a monkey,1,-32.978023529052734,-38.24599838256836,5.267974853515625
33,A,1,My brother knew your friend.,Your friend was known by my brother.,knew,Experiencer-theme,my brother,your friend,1,-28.615150451660156,-33.55590057373047,4.9407501220703125
33,A,2,Your dog knew my cat.,My cat was known by your dog.,knew,Experiencer-theme,your dog,my cat,1,-30.07986831665039,-38.58092498779297,8.501056671142578
33,A,1,Your sister knew my brother.,My brother was known by your sister.,knew,Experiencer-theme,your sister,my brother,1,-26.362091064453125,-31.67538833618164,5.313297271728516
34,A,2,A boy liked the game.,The game was liked by a boy.,liked,Experiencer-theme,a boy,the game,1,-29.540903091430664,-32.184356689453125,2.643453598022461
34,A,1,The child liked a monkey.,A monkey was liked by the child.,liked,Experiencer-theme,the child,a monkey,1,-33.168949127197266,-38.736549377441406,5.567600250244141
35,A,2,My brother remembered your friend.,Your friend was remembered by my brother.,remembered,Experiencer-theme,my brother,your friend,1,-29.19420051574707,-34.765602111816406,5.571401596069336
35,A,1,Your dog remembered my toy.,My toy was remembered by your dog.,remembered,Experiencer-theme,your dog,my toy,1,-37.36685562133789,-42.96953201293945,5.6026763916015625
35,A,2,Your sister remembered a book.,A book was remembered by your sister.,remembered,Experiencer-theme,your sister,a book,1,-31.784475326538086,-42.28349304199219,10.499017715454102
1,B,1,Your investment helped the community.,The community was helped by your investment.,helped,Advantage,donation,communities,1,-28.311870574951172,-35.04925537109375,6.737384796142578
1,B,2,Your investment strengthened the community.,The community was strengthened by your investment.,strengthened,Advantage,donation,communities,1,-33.925941467285156,-39.34792709350586,5.421985626220703
2,B,1,The exercise benefited his fitness.,His fitness was benefited by the exercise.,benefited,Advantage,exercise,fitness,0,-35.394012451171875,-39.900123596191406,4.506111145019531
2,B,2,The exercise profited his fitness.,His fitness was profited by the exercise.,profited,Advantage,exercise,fitness,0,-44.457862854003906,-47.10847473144531,2.6506118774414062
3,B,1,Our friendship helped my life.,My life was helped by our friendship.,helped,Advantage,friendship,life,1,-29.28986358642578,-30.472564697265625,1.1827011108398438
3,B,2,Our friendship strengthened my life.,My life was strengthened by our friendship.,strengthened,Advantage,friendship,life,1,-32.38387680053711,-32.36517333984375,-0.018703460693359375
4,B,1,The law benefited these workers.,These workers were benefited by the law.,benefited,Advantage,law,workers,0,-30.769994735717773,-33.026573181152344,2.2565784454345703
4,B,2,The law profited these workers.,These workers were profited by the law.,profited,Advantage,law,workers,0,-37.94600296020508,-38.15503692626953,0.20903396606445312
5,B,1,The treaty helped both countries.,Both countries were helped by the treaty.,helped,Advantage,treaty,countries,1,-33.09739303588867,-26.55556869506836,-6.5418243408203125
5,B,2,The treaty profited both countries.,Both countries were profited by the treaty.,profited,Advantage,treaty,countries,0,-37.26244354248047,-38.24810791015625,0.9856643676757812
6,B,1,Your dish earned ninety dollars.,Ninety dollars was earned by your dish.,earned,Price,dish,dollars,1,-42.64154052734375,-46.23405075073242,3.592510223388672
