Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-32.94015121459961,-32.76897430419922,-0.17117691040039062
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-32.94015121459961,-32.76897430419922,-0.17117691040039062
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-22.79448127746582,-27.54883575439453,4.754354476928711
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-22.79448127746582,-27.54883575439453,4.754354476928711
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-25.6345157623291,-23.632299423217773,-2.002216339111328
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-25.6345157623291,-23.632299423217773,-2.002216339111328
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-25.673229217529297,-20.407087326049805,-5.266141891479492
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-25.673229217529297,-20.407087326049805,-5.266141891479492
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-27.028026580810547,-23.64630126953125,-3.381725311279297
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-27.028026580810547,-23.64630126953125,-3.381725311279297
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-26.10483169555664,-21.676738739013672,-4.428092956542969
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-26.10483169555664,-21.676738739013672,-4.428092956542969
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-30.18689727783203,-25.4805850982666,-4.70631217956543
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-30.18689727783203,-25.4805850982666,-4.70631217956543
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-27.52115249633789,-22.070575714111328,-5.4505767822265625
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-27.52115249633789,-22.070575714111328,-5.4505767822265625
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-28.548545837402344,-23.07786750793457,-5.470678329467773
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-28.548545837402344,-23.07786750793457,-5.470678329467773
