# LSTM scores for BLiMP taken from https://arxiv.org/pdf/1912.00582
test,accuracy
anaphor_gender_agreement,0.88
anaphor_number_agreement,0.95
animate_subject_passive,0.72
animate_subject_trans,0.87
causative,0.68
drop_argument,0.79
inchoative,0.65
intransitive,0.79
passive_1,0.72
passive_2,0.73
transitive,0.65
principle_A_c_command,0.59
principle_A_case_1,1
principle_A_case_1,0.87
principle_A_domain_1,0.98
principle_A_domain_2,0.68
principle_A_domain_3,0.55
principle_A_reconstruction,0.46
existential_there_object_raising,0.66
existential_there_subject_raising,0.8
expletive_it_object_raising,0.63
tough_vs_raising_1,0.34
tough_vs_raising_2,0.93
determiner_noun_agreement_1,0.92
determiner_noun_agreement_2,0.92
determiner_noun_agreement_irregular_1,0.76
determiner_noun_agreement_irregular_2,0.83
determiner_noun_agreement_with_adj_1,0.87
determiner_noun_agreement_with_adj_2,0.86
determiner_noun_agreement_with_adj_irregular_1,0.76
determiner_noun_agreement_with_adj_irregular_2,0.83
ellipsis_n_bar_1,0.68
ellipsis_n_bar_2,0.67
wh_questions_object_gap,0.79
wh_questions_subject_gap,0.92
wh_questions_subject_gap_long_distance,0.96
wh_vs_that_no_gap,0.97
wh_vs_that_no_gap_long_distance,0.97
wh_vs_that_with_gap,0.43
wh_vs_that_with_gap_long_distance,0.14
irregular_past_participle_adjectives,0.93
irregular_past_participle_verbs,0.85
adjunct_island,0.67
complex_NP_island,0.47
coordinate_structure_constraint_complex_left_branch,0.3
coordinate_structure_constraint_object_extraction,0.71
left_branch_island_echo_question,0.32
left_branch_island_simple_question,0.36
sentential_subject_island,0.43
wh_island,0.47
matrix_question_npi_licensor_present,0.02
npi_present_1,0.54
npi_present_2,0.54
only_npi_licensor_present,0.93
only_npi_scope,0.36
sentential_negation_npi_licensor_present,1
sentential_negation_npi_scope,0.23
existential_there_quantifiers_1,0.96
existential_there_quantifiers_2,0.16
superlative_quantifiers_1,0.63
superlative_quantifiers_2,0.83
distractor_agreement_relational_noun,0.76
distractor_agreement_relative_clause,0.63
irregular_plural_subject_verb_agreement_1,0.81
irregular_plural_subject_verb_agreement_2,0.89
regular_plural_subject_verb_agreement_1,0.89
regular_plural_subject_verb_agreement_2,0.83
