active,passive,verb,bad,exclude,match,content_match,parse_match,Vtypefull,Vtype,VtypeNEW,Verb,Vno,Passivizable,Participle,CoreSet,CountTot,CountTrans,CountInt,CountPass,CountPeri,CountOther,A_cause_B_change,A_enable,A_doingsomething_B,A_responsible,A_physical_contact,B_state_change,B_responsible,A_deliberately_V_B,B_affected,B_adversely_affected,FACA,FACB,FACC
the shirt soaked the detergent.,the detergent was soaked by the shirt.,soak,x,?,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,soak,V169,Y,REG,N,906,,,4,,,7.6,7.7,7.4,7.7,7.3,7.4,3.4,7.9,7.5,4.7,0.95163,-0.19665,-0.52783
the soldier succumbed to fatigue.,the soldier was succumbed to by fatigue.,succumb to,x,?,TRUE,TRUE,FALSE,Agent_is_enabling cause,Agent_is_enabling cause,(d) Other Passivizable,succumb to,V403,Y,REG,N,419,,,0,,,4.1,4.9,4.7,4.2,3.4,4.6,6.4,6.2,4.9,4.2,-1.60913,0.10757,3.0933
the dog was a loyal companion.,a loyal companion was been by the dog.,be,,?,TRUE,TRUE,TRUE,Symmetrical_Verbs,Symmetrical_Verbs,(e) Non-Passivizable,be,V459,N,PART,N,1868821,0.0,1093396.0,0,0.0,717890.0,1.8,4.6,3.6,4.6,3.2,3.0,3.6,3.2,2.8,3.9,-2.47831,-2.43079,0.54471
the child squirted water.,water was squirted by the child.,squirt,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,squirt,V167,Y,REG,N,140,,,1,,,6.8,7.4,7.0,6.4,6.0,6.7,3.0,7.3,7.0,4.6,0.40977,-0.91592,-0.22421
the accident wrecked the car.,the car was wrecked by the accident.,wreck,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,wreck,V124,Y,REG,N,645,,,30,,,8.0,7.9,8.2,8.1,6.8,8.2,3.3,8.4,8.1,8.6,1.58444,-0.03557,0.32255
the waiter toasted the restaurant's success.,the restaurant's success was toasted by the waiter.,toast,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,toast,V142,Y,REG,N,311,,,1,,,6.6,6.3,7.3,7.4,4.8,7.1,3.9,7.5,7.2,4.7,0.36125,0.0238,0.34361
the students toasted the end of the school year.,the end of the school year was toasted by the students.,toast,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,toast,V142,Y,REG,N,311,,,1,,,6.6,6.3,7.3,7.4,4.8,7.1,3.9,7.5,7.2,4.7,0.36125,0.0238,0.34361
the dog gobbled the leftovers.,the leftovers were gobbled by the dog.,gobble,x,???,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,gobble,V115,Y,REG,N,147,,,0,,,6.8,7.2,7.7,7.0,8.4,7.9,2.9,7.6,6.9,6.2,0.91488,-1.08937,-0.26305
the boy knocked the door.,the door was knocked by the boy.,knock,x,???,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,knock,V193,Y,REG,N,4258,,,3,,,7.4,8.0,7.5,7.6,7.7,7.2,2.8,7.9,6.9,6.5,1.07205,-0.59957,-0.72311
the child munched a cookie.,a cookie was munched by the child.,munch,,munch on?,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,munch,V110,Y,REG,N,185,,,1,,,7.3,7.4,7.3,7.5,8.2,7.2,3.4,7.5,6.4,5.6,0.78714,-0.55634,-0.45576
the reporter told the news.,the news was told by the reporter.,tell,x,weird,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tell,V092,Y,IRR,N,71421,,,511,,,5.6,7.3,7.7,7.1,1.4,5.1,2.9,8.2,4.9,3.1,-0.17393,0.73353,-1.37187
the scientist searched for answers.,the answers were searched for by the scientist.,search,x,what is this,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,search,V087,Y,REG,N,3936,,,14,,,5.6,6.7,4.6,6.9,3.9,4.5,3.7,6.7,4.6,3.1,-0.7884,-0.15673,-0.70963
the friend chatted to a neighbor.,a neighbor was chatted to by the friend.,chat to,x,x,TRUE,TRUE,FALSE,Basic AP (obligatorily reversible),Basic,(a) Agent-Patient,chat to,V265,Y,REG,N,359,288.0,13.0,0,0.0,13.0,5.1,6.3,6.0,6.6,2.8,5.3,5.2,7.6,4.6,4.0,-0.68876,1.16973,0.78752
the painting looked like a masterpiece.,a masterpiece was looked like by the painting.,look like,x,x,TRUE,TRUE,FALSE,Symmetrical_Verbs,Symmetrical_Verbs,(e) Non-Passivizable,look like,V458,N,REG,N,8072,6523.0,0.0,0,50.0,486.0,2.9,4.0,2.4,3.3,1.6,3.0,3.2,5.1,2.6,2.7,-2.68694,-2.30318,0.74773
the sunset looked like a canvas of colors.,a canvas of colors was looked like by the sunset.,look like,x,x,TRUE,TRUE,FALSE,Symmetrical_Verbs,Symmetrical_Verbs,(e) Non-Passivizable,look like,V458,N,REG,N,8072,6523.0,0.0,0,50.0,486.0,2.9,4.0,2.4,3.3,1.6,3.0,3.2,5.1,2.6,2.7,-2.68694,-2.30318,0.74773
the family gobbled the pizza.,the pizza was gobbled by the family.,gobble,x,x,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,gobble,V115,Y,REG,N,147,,,0,,,6.8,7.2,7.7,7.0,8.4,7.9,2.9,7.6,6.9,6.2,0.91488,-1.08937,-0.26305
the child slid down the slide.,the slide was slid down by the child.,slide,x,x,TRUE,TRUE,FALSE,Basic AP (reversible),Basic,(a) Agent-Patient,slide,V178,Y,IRR,N,2790,941.0,1030.0,0,0.0,735.0,5.5,6.9,6.4,6.1,4.3,4.3,2.7,6.2,5.8,4.3,-0.4514,-1.22268,-0.61904
the paint splattered the wall.,the wall was splattered by the paint.,splatter,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,splatter,V164,Y,REG,N,103,,,0,,,8.4,7.7,7.9,7.0,7.1,7.5,2.8,8.0,7.1,6.5,1.137,-0.81114,-0.20914
the student took the exam.,the exam was taken by the student.,take,?,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,take,V025,Y,PART,N,168452,94632.0,23890.0,736,26.0,47780.0,7.2,6.5,7.3,7.2,6.3,6.6,3.5,8.0,6.4,4.9,0.46505,-0.19807,-0.188
the traveler took the train.,the train was taken by the traveler.,take,?,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,take,V025,Y,PART,N,168452,94632.0,23890.0,736,26.0,47780.0,7.2,6.5,7.3,7.2,6.3,6.6,3.5,8.0,6.4,4.9,0.46505,-0.19807,-0.188
a programmer deleted the code.,the code was deleted by a programmer.,delete,HERE,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,delete,V019,Y,REG,N,913,,,2,,,6.9,7.5,7.8,7.4,3.8,8.3,3.4,7.3,7.2,7.7,0.88292,-0.23204,0.71104
the scientist predicted the outcome.,the outcome was predicted by the scientist.,predict,HERE,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the student avoided the questions.,the questions were avoided by the student.,avoid,STOPPED HERE,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,avoid,V223,Y,REG,Y,11680,,,55,,,3.8,7.2,5.9,7.4,1.3,4.2,4.4,8.5,4.5,5.5,-0.57478,1.82652,-0.16498
the hammock dangled in the breeze.,the breeze held the hammock.,dangle,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,dangle,V004,Y,REG,N,515,,,0,,,6.6,7.3,6.9,7.0,6.4,7.0,2.4,7.0,6.6,4.9,0.47578,-1.27571,-0.87514
the shirt dangled from the line.,the shirt was dangled from the line.,dangle,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,dangle,V004,Y,REG,N,515,,,0,,,6.6,7.3,6.9,7.0,6.4,7.0,2.4,7.0,6.6,4.9,0.47578,-1.27571,-0.87514
the keys dangled from a hook.,the keys were dangled from a hook.,dangle,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,dangle,V004,Y,REG,N,515,,,0,,,6.6,7.3,6.9,7.0,6.4,7.0,2.4,7.0,6.6,4.9,0.47578,-1.27571,-0.87514
she spilled the coffee.,the coffee was spilled by her.,spill,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,spill,V010,Y,IRR,N,1294,,,0,,,7.3,6.0,7.2,6.3,5.6,6.7,3.1,6.9,6.0,6.7,0.26239,-1.3073,0.59367
he spilled the beans.,the beans were spilled by him.,spill,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,spill,V010,Y,IRR,N,1294,,,0,,,7.3,6.0,7.2,6.3,5.6,6.7,3.1,6.9,6.0,6.7,0.26239,-1.3073,0.59367
she twisted the fabric.,the fabric was twisted by her.,twist,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,twist,V012,Y,REG,N,1784,,,0,,,6.8,6.8,6.5,7.1,6.4,7.1,3.2,6.8,6.6,5.8,0.39404,-1.03298,0.00584
she buttered the pancakes.,the pancakes were buttered by her.,butter,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,butter,V015,Y,REG,N,106,,,0,,,6.5,7.2,7.0,7.6,6.5,7.5,3.0,6.8,5.6,4.0,0.37049,-0.74231,-1.0715
they buttered the corn.,the corn was buttered by them.,butter,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,butter,V015,Y,REG,N,106,,,0,,,6.5,7.2,7.0,7.6,6.5,7.5,3.0,6.8,5.6,4.0,0.37049,-0.74231,-1.0715
she stole the show.,the show was stolen by her.,steal,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,steal,V024,Y,PART,N,4519,,,49,,,7.4,8.1,7.9,8.2,6.6,7.0,2.7,6.4,8.2,6.5,1.0957,-0.97366,-0.63934
he stole a glance at her.,a glance was stolen at her by him.,steal,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,steal,V024,Y,PART,N,4519,,,49,,,7.4,8.1,7.9,8.2,6.6,7.0,2.7,6.4,8.2,6.5,1.0957,-0.97366,-0.63934
she posted a letter.,the letter was posted by her.,post,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,post,V026,Y,REG,N,920,,,2,,,6.2,7.3,8.0,7.0,6.2,5.8,2.8,6.5,5.8,3.7,0.18807,-0.90181,-1.19884
he posted a photo.,the photo was posted by him.,post,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,post,V026,Y,REG,N,920,,,2,,,6.2,7.3,8.0,7.0,6.2,5.8,2.8,6.5,5.8,3.7,0.18807,-0.90181,-1.19884
they posted the event online.,the event was posted online by them.,post,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,post,V026,Y,REG,N,920,,,2,,,6.2,7.3,8.0,7.0,6.2,5.8,2.8,6.5,5.8,3.7,0.18807,-0.90181,-1.19884
i sent a letter to my friend.,the letter was sent to my friend by me.,send,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,send,V027,Y,REG,N,23537,,,109,,,6.4,6.6,6.9,6.8,4.7,6.3,3.6,7.4,5.9,4.0,0.01571,-0.18843,-0.16074
she borrowed a pen.,the pen was borrowed by her.,borrow,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,borrow,V035,Y,REG,N,2902,,,16,,,7.1,6.7,6.7,7.6,4.0,5.9,3.5,7.3,5.9,4.3,0.10442,0.0443,-0.47872
he borrowed a camera.,the camera was borrowed by him.,borrow,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,borrow,V035,Y,REG,N,2902,,,16,,,7.1,6.7,6.7,7.6,4.0,5.9,3.5,7.3,5.9,4.3,0.10442,0.0443,-0.47872
she memorized her lines for the play.,the lines for the play were memorized by her.,memorize,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,memorize,V038,Y,REG,N,110,,,1,,,3.9,7.5,5.3,15.5,2.3,4.4,4.3,7.9,3.3,3.3,0.08296,4.34127,-4.77546
she studied the map.,the map was studied by her.,study,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,study,V039,Y,REG,N,2240,,,84,,,3.9,7.3,6.4,8.1,2.6,4.5,4.0,8.3,4.5,3.1,-0.47165,1.7096,-1.41671
they studied the art history.,the art history was studied by them.,study,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,study,V039,Y,REG,N,2240,,,84,,,3.9,7.3,6.4,8.1,2.6,4.5,4.0,8.3,4.5,3.1,-0.47165,1.7096,-1.41671
she sliced the tomatoes.,the tomatoes were sliced by her.,slice,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,slice,V048,Y,REG,N,758,223.0,134.0,1,0.0,366.0,7.6,7.6,6.6,7.3,6.9,7.5,3.3,8.1,6.8,5.6,0.81251,-0.34812,-0.26167
they sliced the roast beef.,the roast beef was sliced by them.,slice,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,slice,V048,Y,REG,N,758,223.0,134.0,1,0.0,366.0,7.6,7.6,6.6,7.3,6.9,7.5,3.3,8.1,6.8,5.6,0.81251,-0.34812,-0.26167
she buttoned the shirt.,the shirt was buttoned by her.,button,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,button,V049,Y,REG,N,203,,,0,,,6.4,6.8,6.4,6.9,6.7,6.2,3.4,7.1,4.8,3.6,-0.06001,-0.58626,-0.83865
he buttoned the coat.,the coat was buttoned by him.,button,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,button,V049,Y,REG,N,203,,,0,,,6.4,6.8,6.4,6.9,6.7,6.2,3.4,7.1,4.8,3.6,-0.06001,-0.58626,-0.83865
she unbolted the gate.,the gate was unbolted by her.,unbolt,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,unbolt,V057,Y,REG,N,6,,,0,,,7.7,7.6,8.1,7.6,7.1,7.9,3.8,7.9,6.6,5.2,0.9745,0.06794,-0.18378
he unbolted the lock.,the lock was unbolted by him.,unbolt,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,unbolt,V057,Y,REG,N,6,,,0,,,7.7,7.6,8.1,7.6,7.1,7.9,3.8,7.9,6.6,5.2,0.9745,0.06794,-0.18378
she unlocked the cabinet.,the cabinet was unlocked by her.,unlock,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,unlock,V058,Y,REG,N,625,,,2,,,7.7,7.9,8.1,7.5,6.6,8.4,3.1,7.8,6.5,4.7,1.01958,-0.32237,-0.70646
she wrote a letter.,the letter was written by her.,write,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,write,V066,Y,PART,N,37871,,,347,,,5.8,6.8,5.7,6.9,4.7,5.7,3.1,6.8,5.0,2.5,-0.41872,-0.57153,-1.15106
they wrote a report.,the report was written by them.,write,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,write,V066,Y,PART,N,37871,,,347,,,5.8,6.8,5.7,6.9,4.7,5.7,3.1,6.8,5.0,2.5,-0.41872,-0.57153,-1.15106
the community grew a park.,the park was grown by the community.,grow,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,grow,V069,Y,PART,N,17993,1171.0,14103.0,14,21.0,2446.0,7.2,6.5,6.2,7.6,3.1,6.6,2.9,6.4,5.8,3.4,-0.06693,-0.68265,-0.81065
the teacher made an example.,the example was made by the teacher.,make,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,make,V071,Y,IRR,N,202021,,,1652,,,6.9,7.8,7.2,7.2,6.6,5.1,3.5,7.4,5.4,4.2,0.24605,-0.05086,-1.01563
