frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-36.935585021972656,-39.60940170288086,2.673816680908203
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-38.0521125793457,-43.32537841796875,5.273265838623047
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-36.746158599853516,-37.01614761352539,0.269989013671875
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-44.28757095336914,-41.671348571777344,-2.616222381591797
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-32.04984664916992,-37.15843200683594,5.108585357666016
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-35.32426834106445,-37.611507415771484,2.2872390747070312
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.101722717285156,-30.973499298095703,-1.1282234191894531
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-43.580352783203125,-38.222862243652344,-5.357490539550781
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-34.9804573059082,-36.36335754394531,1.3829002380371094
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-47.09770965576172,-39.849761962890625,-7.247947692871094
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-43.87683868408203,-55.93621826171875,12.059379577636719
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-56.16386413574219,-51.1689567565918,-4.994907379150391
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-30.256507873535156,-43.440670013427734,13.184162139892578
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-25.31390380859375,-43.11332321166992,17.799419403076172
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-40.13150405883789,-42.17475128173828,2.0432472229003906
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-32.90904998779297,-37.52304458618164,4.613994598388672
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-34.1531982421875,-45.34254837036133,11.189350128173828
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-42.42115783691406,-43.22576904296875,0.8046112060546875
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-37.4644889831543,-43.67890167236328,6.214412689208984
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-33.845130920410156,-40.431541442871094,6.5864105224609375
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-47.85729217529297,-41.81525421142578,-6.0420379638671875
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-43.11368942260742,-38.86231994628906,-4.251369476318359
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-49.53255844116211,-47.18800354003906,-2.344554901123047
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-38.02312088012695,-46.15129470825195,8.128173828125
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-36.390811920166016,-48.374507904052734,11.983695983886719
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-32.6785888671875,-50.69932556152344,18.020736694335938
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-51.33061981201172,-49.545936584472656,-1.7846832275390625
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-43.87266159057617,-43.45604705810547,-0.4166145324707031
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-43.474266052246094,-48.10419845581055,4.629932403564453
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-43.87403106689453,-45.78154754638672,1.9075164794921875
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-35.43708801269531,-36.41798400878906,0.98089599609375
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-32.16615676879883,-43.148956298828125,10.982799530029297
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-40.94209289550781,-45.217105865478516,4.275012969970703
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-37.93409729003906,-45.95723342895508,8.023136138916016
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-32.844947814941406,-33.25737380981445,0.4124259948730469
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-30.00939178466797,-40.1831169128418,10.173725128173828
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-37.815670013427734,-44.419769287109375,6.604099273681641
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-34.85474395751953,-49.13814926147461,14.283405303955078
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-31.912981033325195,-37.219505310058594,5.306524276733398
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-22.437423706054688,-49.05860900878906,26.621185302734375
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-25.62970733642578,-42.8351936340332,17.205486297607422
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.381301879882812,-41.19172668457031,11.8104248046875
