test,accuracy
adjunct_island,0.846
anaphor_gender_agreement,0.886
anaphor_number_agreement,0.989
animate_subject_passive,0.76
animate_subject_trans,0.804
causative,0.698
complex_NP_island,0.546
coordinate_structure_constraint_complex_left_branch,0.342
coordinate_structure_constraint_object_extraction,0.775
determiner_noun_agreement_1,0.978
determiner_noun_agreement_2,0.95
determiner_noun_agreement_irregular_1,0.862
determiner_noun_agreement_irregular_2,0.918
determiner_noun_agreement_with_adj_2,0.902
determiner_noun_agreement_with_adj_irregular_1,0.845
determiner_noun_agreement_with_adj_irregular_2,0.894
determiner_noun_agreement_with_adjective_1,0.928
distractor_agreement_relational_noun,0.866
distractor_agreement_relative_clause,0.696
drop_argument,0.778
ellipsis_n_bar_1,0.794
ellipsis_n_bar_2,0.81
existential_there_object_raising,0.731
existential_there_quantifiers_1,0.959
existential_there_quantifiers_2,0.469
existential_there_subject_raising,0.834
expletive_it_object_raising,0.72
inchoative,0.634
intransitive,0.772
irregular_past_participle_adjectives,0.929
irregular_past_participle_verbs,0.85
irregular_plural_subject_verb_agreement_1,0.871
irregular_plural_subject_verb_agreement_2,0.911
left_branch_island_echo_question,0.338
left_branch_island_simple_question,0.43
matrix_question_npi_licensor_present,0.639
npi_present_1,0.617
npi_present_2,0.645
only_npi_licensor_present,0.859
only_npi_scope,0.713
passive_1,0.851
passive_2,0.861
principle_A_c_command,0.673
principle_A_case_1,1.0
principle_A_case_2,0.94
principle_A_domain_1,0.973
principle_A_domain_2,0.893
principle_A_domain_3,0.513
principle_A_reconstruction,0.447
regular_plural_subject_verb_agreement_1,0.908
regular_plural_subject_verb_agreement_2,0.925
sentential_negation_npi_licensor_present,0.982
sentential_negation_npi_scope,0.663
sentential_subject_island,0.418
superlative_quantifiers_1,0.748
superlative_quantifiers_2,0.723
tough_vs_raising_1,0.617
tough_vs_raising_2,0.884
transitive,0.828
wh_island,0.716
wh_questions_object_gap,0.775
wh_questions_subject_gap,0.92
wh_questions_subject_gap_long_distance,0.854
wh_vs_that_no_gap,0.972
wh_vs_that_no_gap_long_distance,0.98
wh_vs_that_with_gap,0.55
wh_vs_that_with_gap_long_distance,0.253
