verb,,active,passive,verb,bad,exclude,match
abandon,3135,The child abandoned the toy.  ,The toy was abandoned by the child.,abandon,,,True
abandon,901,The soldier abandoned his post.  ,His post was abandoned by the soldier.,abandon,,,True
abandon,3133,The explorer abandoned the expedition.  ,The expedition was abandoned by the explorer.,abandon,,,True
abandon,3134,The couple abandoned the idea.  ,The idea was abandoned by the couple.,abandon,,,True
abandon,900,The team abandoned their plans.  ,Their plans were abandoned by the team.,abandon,,,True
abut,4188,The road abutted the residential area.  ,The residential area was abutted by the road.,abut,,,True
abut,4182,The wall abutted the driveway.  ,The driveway was abutted by the wall.,abut,,,True
abut,4186,The hut abutted the forest edge.  ,The forest edge was abutted by the hut.,abut,,,True
abut,4187,The garage abutted the main house.  ,The main house was abutted by the garage.,abut,,,True
abut,4181,The building abutted the park.  ,The park was abutted by the building.,abut,,,True
accept,4015,The group accepted the challenge.,The challenge was accepted by the group.,accept,,,True
accept,4009,The company accepted the application.,The application was accepted by the company.,accept,,,True
accept,4013,The reviewer accepted the manuscript.,The manuscript was accepted by the reviewer.,accept,,,True
accept,4014,The organization accepted the donation.,The donation was accepted by the organization.,accept,,,True
accept,4008,The teacher accepted the assignment.,The assignment was accepted by the teacher.,accept,,,True
accompany,3204,The pianist accompanied the violinist.  ,The violinist was accompanied by the pianist.,accompany,,,True
accompany,3198,The teacher accompanied the students.  ,The students were accompanied by the teacher.,accompany,,,True
accompany,3202,The parent accompanied the child.  ,The child was accompanied by the parent.,accompany,,,True
accompany,3203,The friend accompanied the traveler.  ,The traveler was accompanied by the friend.,accompany,,,True
accompany,3197,The artist accompanied the singer.  ,The singer was accompanied by the artist.,accompany,,,True
admire,3632,The photographer admired the sunset.,The sunset was admired by the photographer.,admire,,,True
admire,3626,A critic admired the new restaurant's menu.,The new restaurant's menu was admired by a critic.,admire,,,True
admire,3630,The art collector admired the painting.,The painting was admired by the art collector.,admire,,,True
admire,3631,A parent admired the child's drawing.,The child's drawing was admired by a parent.,admire,,,True
admire,3625,The crowd admired the athlete's performance.,The athlete's performance was admired by the crowd.,admire,,,True
adore,3640,The librarian adored the book.,The book was adored by the librarian.,adore,,,True
adore,3634,The artist adored the painting.,The painting was adored by the artist.,adore,,,True
adore,3638,The chef adored the recipe.,The recipe was adored by the chef.,adore,,,True
adore,3639,The audience adored the performance.,The performance was adored by the audience.,adore,,,True
adore,3633,The child adored the puppy.,The puppy was adored by the child.,adore,,,True
advise,2996,The expert advised the committee.  ,The committee was advised by the expert.,advise,,,True
